Dates ,09:00,10:00,11:00
1/1/2018,89.40000,90.60000,88.60000
1/2/2018,108.20000,104.60000,106.00000
1/3/2018,110.00000,111.60000,114.80000
1/4/2018,106.40000,104.40000,109.00000
1/5/2018,97.80000,100.40000,102.40000
1/6/2018,87.00000,90.80000,87.20000
1/7/2018,68.80000,67.00000,67.60000
1/8/2018,110.20000,113.00000,116.20000
1/9/2018,111.20000,119.20000,116.00000
1/10/2018,109.00000,114.60000,114.20000
1/11/2018,99.80000,109.00000,113.40000
1/12/2018,111.00000,114.80000,120.40000
1/13/2018,88.40000,89.60000,84.80000
1/14/2018,63.40000,63.60000,66.80000
1/15/2018,114.40000,116.20000,121.20000
1/16/2018,111.20000,114.60000,124.60000
1/17/2018,119.60000,117.40000,118.60000
1/18/2018,117.60000,123.60000,133.80000
1/19/2018,120.40000,130.40000,126.80000
1/20/2018,105.00000,101.40000,100.80000
1/21/2018,67.60000,68.00000,69.60000
1/22/2018,133.80000,132.40000,138.40000
1/23/2018,126.00000,129.00000,138.40000
1/24/2018,119.20000,129.40000,133.80000
1/25/2018,126.40000,130.40000,142.40000
1/26/2018,124.60000,124.00000,135.60000
1/27/2018,98.00000,97.40000,105.60000
1/28/2018,65.60000,68.40000,66.20000
1/29/2018,123.60000,129.80000,135.60000
1/30/2018,128.40000,131.80000,141.00000
1/31/2018,115.20000,118.20000,126.80000
2/1/2018,118.00000,119.60000,123.60000
2/2/2018,124.40000,131.00000,138.00000
2/3/2018,94.40000,94.20000,95.80000
2/4/2018,60.60000,61.40000,64.00000
2/5/2018,123.60000,132.00000,149.60000
2/6/2018,127.80000,146.20000,152.80000
2/7/2018,130.40000,138.80000,149.60000
2/8/2018,133.20000,138.00000,139.80000
2/9/2018,126.40000,130.00000,135.40000
2/10/2018,102.40000,101.00000,100.20000
2/11/2018,62.00000,66.80000,63.20000
2/12/2018,133.00000,137.80000,140.40000
2/13/2018,141.20000,144.80000,146.40000
2/14/2018,128.00000,134.60000,147.80000
2/15/2018,122.20000,130.00000,138.80000
2/16/2018,126.20000,126.00000,128.20000
2/17/2018,97.20000,96.20000,96.00000
2/18/2018,64.00000,64.40000,67.00000
2/19/2018,123.00000,131.00000,152.60000
2/20/2018,131.40000,138.80000,144.80000
2/21/2018,129.40000,137.80000,145.20000
2/22/2018,132.60000,136.20000,146.80000
2/23/2018,131.80000,130.60000,135.80000
2/24/2018,100.20000,102.60000,104.80000
2/25/2018,67.40000,73.00000,71.40000
2/26/2018,131.40000,142.60000,154.40000
2/27/2018,139.80000,141.60000,149.20000
2/28/2018,132.40000,139.00000,144.00000
3/1/2018,121.80000,128.20000,145.80000
3/2/2018,127.80000,126.00000,124.20000
3/3/2018,103.60000,103.40000,104.00000
3/4/2018,65.80000,64.00000,68.20000
3/5/2018,127.40000,136.60000,148.40000
3/6/2018,131.60000,135.00000,143.40000
3/7/2018,122.20000,133.00000,140.80000
3/8/2018,125.80000,126.80000,138.80000
3/9/2018,124.00000,123.80000,131.20000
3/10/2018,95.00000,96.40000,101.20000
3/11/2018,57.60000,57.80000,56.00000
3/12/2018,117.20000,121.80000,133.60000
3/13/2018,120.20000,124.80000,137.20000
3/14/2018,123.40000,128.20000,136.00000
3/15/2018,115.00000,127.80000,134.60000
3/16/2018,114.00000,120.00000,123.00000
3/17/2018,92.80000,97.20000,97.40000
3/18/2018,68.40000,73.00000,70.60000
3/19/2018,139.20000,148.80000,156.40000
3/20/2018,128.60000,140.00000,145.40000
3/21/2018,124.60000,129.60000,131.60000
3/22/2018,120.80000,126.60000,136.60000
3/23/2018,118.40000,127.60000,131.20000
3/24/2018,98.40000,104.00000,104.40000
3/25/2018,63.20000,63.40000,62.60000
3/26/2018,122.40000,131.40000,141.00000
3/27/2018,127.80000,140.00000,138.80000
3/28/2018,125.60000,134.60000,141.20000
3/29/2018,126.40000,133.80000,134.60000
3/30/2018,98.40000,94.00000,96.60000
3/31/2018,93.80000,97.20000,97.60000
4/1/2018,61.20000,64.40000,63.20000
4/2/2018,99.20000,98.80000,96.00000
4/3/2018,129.20000,138.40000,145.00000
4/4/2018,127.60000,133.80000,140.40000
4/5/2018,122.60000,131.00000,132.20000
4/6/2018,124.60000,129.80000,131.40000
4/7/2018,91.60000,92.60000,92.20000
4/8/2018,58.00000,58.80000,60.20000
4/9/2018,123.40000,135.00000,140.60000
4/10/2018,126.00000,136.40000,138.00000
4/11/2018,122.80000,128.20000,131.00000
4/12/2018,123.80000,134.80000,137.40000
4/13/2018,128.20000,137.80000,138.00000
4/14/2018,94.00000,94.60000,96.00000
4/15/2018,56.00000,59.00000,57.60000
4/16/2018,109.40000,117.60000,121.40000
4/17/2018,112.20000,117.60000,119.40000
4/18/2018,109.20000,121.60000,123.60000
4/19/2018,115.20000,120.40000,122.80000
4/20/2018,109.00000,112.80000,120.80000
4/21/2018,91.60000,94.00000,96.00000
4/22/2018,58.80000,60.00000,61.00000
4/23/2018,112.80000,117.60000,117.60000
4/24/2018,113.80000,117.20000,121.20000
4/25/2018,111.40000,116.40000,119.80000
4/26/2018,114.40000,117.40000,119.40000
4/27/2018,110.40000,113.40000,118.20000
4/28/2018,91.40000,93.40000,97.00000
4/29/2018,59.80000,61.80000,63.80000
4/30/2018,133.00000,139.20000,143.00000
5/1/2018,110.60000,115.40000,122.20000
5/2/2018,109.20000,123.40000,122.80000
5/3/2018,107.00000,113.80000,115.60000
5/4/2018,98.00000,102.80000,108.00000
5/5/2018,73.60000,75.60000,76.60000
5/6/2018,59.00000,60.00000,62.00000
5/7/2018,73.00000,73.00000,72.40000
5/8/2018,106.20000,111.00000,115.20000
5/9/2018,96.60000,98.80000,103.80000
5/10/2018,92.40000,109.60000,114.00000
5/11/2018,104.00000,108.20000,110.60000
5/12/2018,74.80000,75.20000,78.00000
5/13/2018,62.20000,62.80000,62.80000
5/14/2018,102.60000,109.60000,109.40000
5/15/2018,103.60000,105.80000,105.80000
5/16/2018,105.20000,107.60000,106.00000
5/17/2018,102.00000,102.80000,103.80000
5/18/2018,99.60000,104.40000,105.60000
5/19/2018,76.80000,77.40000,77.60000
5/20/2018,58.80000,60.40000,60.60000
5/21/2018,95.40000,103.00000,103.60000
5/22/2018,95.00000,98.00000,99.60000
5/23/2018,91.20000,96.40000,102.60000
5/24/2018,93.40000,102.00000,101.20000
5/25/2018,88.80000,91.20000,95.00000
5/26/2018,73.20000,74.80000,73.80000
5/27/2018,58.60000,60.20000,60.20000
5/28/2018,69.40000,69.40000,69.60000
5/29/2018,91.00000,98.20000,100.20000
5/30/2018,92.40000,93.40000,95.80000
5/31/2018,93.20000,96.80000,103.60000
6/1/2018,92.80000,94.20000,98.80000
6/2/2018,71.80000,71.60000,70.60000
6/3/2018,57.00000,57.20000,56.60000
6/4/2018,92.60000,95.20000,97.60000
6/5/2018,94.20000,112.40000,119.20000
6/6/2018,94.60000,102.40000,103.80000
6/7/2018,89.00000,91.80000,93.20000
6/8/2018,86.00000,90.80000,96.00000
6/9/2018,72.80000,73.80000,72.80000
6/10/2018,55.60000,55.60000,56.40000
6/11/2018,91.80000,95.00000,99.40000
6/12/2018,92.80000,95.40000,96.60000
6/13/2018,91.00000,98.80000,104.80000
6/14/2018,97.60000,98.60000,100.40000
6/15/2018,89.60000,90.40000,98.20000
6/16/2018,81.80000,83.40000,84.20000
6/17/2018,55.60000,56.00000,57.40000
6/18/2018,93.00000,97.40000,100.40000
6/19/2018,91.20000,105.20000,106.40000
6/20/2018,89.00000,93.80000,93.80000
6/21/2018,92.00000,102.00000,103.20000
6/22/2018,89.40000,95.20000,98.60000
6/23/2018,73.40000,76.20000,75.80000
6/24/2018,59.20000,60.20000,64.60000
6/25/2018,97.00000,107.40000,108.60000
6/26/2018,96.60000,106.80000,112.60000
6/27/2018,98.80000,106.60000,109.60000
6/28/2018,94.60000,103.40000,105.20000
6/29/2018,91.80000,101.00000,103.00000
6/30/2018,79.00000,78.40000,78.40000
7/1/2018,61.00000,62.60000,62.60000
7/2/2018,104.60000,116.40000,117.60000
7/3/2018,89.40000,100.60000,99.20000
7/4/2018,86.40000,100.20000,99.80000
7/5/2018,90.00000,100.20000,102.20000
7/6/2018,89.00000,103.00000,105.80000
7/7/2018,69.60000,69.80000,70.60000
7/8/2018,63.60000,63.60000,65.40000
7/9/2018,93.60000,105.80000,109.80000
7/10/2018,83.20000,86.20000,87.40000
7/11/2018,79.00000,94.20000,98.40000
7/12/2018,88.40000,90.40000,100.00000
7/13/2018,84.20000,91.00000,90.80000
7/14/2018,71.40000,72.80000,73.20000
7/15/2018,65.20000,66.80000,67.60000
7/16/2018,92.60000,106.00000,113.60000
7/17/2018,90.00000,107.40000,102.80000
7/18/2018,86.80000,94.60000,96.00000
7/19/2018,86.40000,98.00000,100.40000
7/20/2018,85.40000,90.40000,99.20000
7/21/2018,72.20000,71.20000,73.80000
7/22/2018,65.40000,64.80000,65.60000
7/23/2018,106.80000,106.80000,119.20000
7/24/2018,97.20000,108.20000,111.80000
7/25/2018,105.80000,109.80000,111.60000
7/26/2018,103.00000,118.20000,115.80000
7/27/2018,96.40000,105.80000,106.00000
7/28/2018,71.00000,68.60000,67.60000
7/29/2018,58.20000,60.00000,61.80000
7/30/2018,89.20000,98.80000,100.20000
7/31/2018,90.00000,99.20000,95.20000
8/1/2018,110.80000,118.80000,114.80000
8/2/2018,84.20000,94.00000,95.40000
8/3/2018,85.60000,95.40000,96.20000
8/4/2018,69.20000,68.20000,71.20000
8/5/2018,62.40000,64.20000,64.60000
8/6/2018,87.80000,102.00000,99.20000
8/7/2018,85.20000,102.40000,105.00000
8/8/2018,84.80000,97.40000,96.00000
8/9/2018,83.60000,97.00000,102.60000
8/10/2018,81.80000,85.80000,87.80000
8/11/2018,68.60000,68.60000,68.20000
8/12/2018,58.20000,60.20000,62.00000
8/13/2018,87.60000,98.60000,93.40000
8/14/2018,94.40000,97.60000,99.40000
8/15/2018,87.40000,90.20000,97.00000
8/16/2018,94.00000,107.40000,104.80000
8/17/2018,89.40000,99.80000,96.80000
8/18/2018,70.00000,71.20000,70.20000
8/19/2018,58.20000,57.20000,57.60000
8/20/2018,89.00000,96.80000,94.60000
8/21/2018,88.60000,97.00000,98.40000
8/22/2018,88.80000,96.60000,92.00000
8/23/2018,90.00000,92.60000,91.20000
8/24/2018,82.20000,84.20000,86.20000
8/25/2018,61.80000,62.40000,62.60000
8/26/2018,54.20000,54.00000,53.80000
8/27/2018,62.40000,61.60000,62.00000
8/28/2018,76.20000,80.20000,80.00000
8/29/2018,78.60000,83.00000,82.60000
8/30/2018,75.60000,78.20000,77.40000
8/31/2018,73.60000,75.00000,77.40000
9/1/2018,62.00000,63.20000,65.20000
9/2/2018,53.40000,55.00000,54.40000
9/3/2018,86.20000,89.60000,91.60000
9/4/2018,79.20000,82.80000,86.80000
9/5/2018,83.60000,89.80000,89.60000
9/6/2018,87.80000,92.00000,94.20000
9/7/2018,89.00000,92.60000,95.20000
9/8/2018,75.20000,77.80000,76.20000
9/9/2018,55.00000,55.20000,55.00000
9/10/2018,87.60000,88.80000,93.00000
9/11/2018,88.00000,92.80000,92.60000
9/12/2018,87.20000,89.60000,92.80000
9/13/2018,91.40000,94.40000,100.20000
9/14/2018,93.00000,93.00000,92.80000
9/15/2018,77.00000,75.60000,76.20000
9/16/2018,56.20000,57.20000,58.80000
9/17/2018,97.60000,100.40000,104.00000
9/18/2018,102.80000,106.60000,107.20000
9/19/2018,105.00000,106.80000,113.80000
9/20/2018,98.60000,107.20000,110.00000
9/21/2018,88.60000,108.60000,113.40000
9/22/2018,76.60000,76.20000,77.20000
9/23/2018,58.40000,56.60000,56.20000
9/24/2018,105.40000,111.20000,120.20000
9/25/2018,105.80000,113.40000,119.00000
9/26/2018,107.20000,110.20000,110.60000
9/27/2018,106.40000,111.00000,114.20000
9/28/2018,101.00000,106.80000,105.80000
9/29/2018,74.20000,73.80000,75.00000
9/30/2018,54.00000,55.80000,57.20000
10/1/2018,104.40000,110.20000,120.40000
10/2/2018,104.40000,110.80000,110.20000
10/3/2018,107.20000,117.40000,126.00000
10/4/2018,108.80000,115.00000,118.00000
10/5/2018,99.80000,105.00000,108.80000
10/6/2018,72.40000,75.40000,76.20000
10/7/2018,53.00000,52.60000,51.80000
10/8/2018,106.00000,116.60000,128.40000
10/9/2018,110.20000,117.20000,117.40000
10/10/2018,121.00000,117.60000,136.80000
10/11/2018,119.40000,123.20000,135.60000
10/12/2018,105.00000,108.20000,122.40000
10/13/2018,90.80000,99.60000,105.80000
10/14/2018,56.00000,55.80000,55.80000
10/15/2018,105.80000,112.00000,122.80000
10/16/2018,103.60000,122.00000,134.00000
10/17/2018,110.60000,111.80000,127.00000
10/18/2018,112.20000,116.20000,123.80000
10/19/2018,111.20000,116.40000,127.20000
10/20/2018,81.00000,83.00000,85.20000
10/21/2018,63.80000,61.60000,61.60000
10/22/2018,106.00000,106.80000,118.80000
10/23/2018,117.60000,122.40000,123.60000
10/24/2018,107.20000,113.00000,112.40000
10/25/2018,104.20000,109.80000,115.80000
10/26/2018,102.20000,106.80000,114.80000
10/27/2018,81.20000,79.00000,81.60000
10/28/2018,59.20000,62.80000,63.80000
10/29/2018,81.40000,87.00000,109.20000
10/30/2018,95.60000,113.60000,123.60000
10/31/2018,103.60000,110.00000,117.80000
11/1/2018,104.40000,105.40000,115.20000
11/2/2018,105.20000,116.00000,105.80000
11/3/2018,81.00000,81.40000,84.60000
11/4/2018,64.60000,67.60000,72.80000
11/5/2018,108.00000,113.60000,116.80000
11/6/2018,97.00000,111.80000,118.00000
11/7/2018,103.40000,105.80000,112.80000
11/8/2018,98.60000,115.00000,108.00000
11/9/2018,116.20000,127.60000,112.00000
11/10/2018,81.60000,85.20000,87.80000
11/11/2018,55.80000,60.60000,57.20000
11/12/2018,100.80000,113.60000,116.40000
11/13/2018,106.20000,106.20000,116.40000
11/14/2018,110.40000,112.00000,111.40000
11/15/2018,103.40000,103.40000,114.20000
11/16/2018,98.00000,102.60000,114.80000
11/17/2018,71.60000,77.40000,75.20000
11/18/2018,57.80000,57.80000,60.40000
11/19/2018,110.00000,112.20000,124.40000
11/20/2018,105.40000,112.60000,128.60000
11/21/2018,117.20000,128.00000,131.60000
11/22/2018,116.60000,120.00000,132.00000
11/23/2018,110.40000,112.40000,119.60000
11/24/2018,80.00000,82.20000,82.20000
11/25/2018,60.20000,61.80000,61.00000
11/26/2018,107.60000,119.60000,129.80000
11/27/2018,110.00000,121.00000,134.80000
11/28/2018,105.40000,120.60000,124.60000
11/29/2018,103.00000,103.60000,107.60000
11/30/2018,103.20000,107.00000,112.40000
12/1/2018,79.40000,83.20000,85.80000
12/2/2018,57.60000,59.80000,61.20000
12/3/2018,99.40000,107.00000,117.00000
12/4/2018,107.20000,117.00000,123.60000
12/5/2018,112.00000,111.80000,117.40000
12/6/2018,104.60000,104.40000,115.80000
12/7/2018,104.20000,110.40000,116.40000
12/8/2018,79.20000,81.20000,81.80000
12/9/2018,60.20000,59.00000,63.00000
12/10/2018,109.60000,114.60000,130.60000
12/11/2018,113.60000,111.40000,118.40000
12/12/2018,107.20000,107.80000,122.40000
12/13/2018,114.00000,116.00000,125.00000
12/14/2018,113.00000,119.60000,129.40000
12/15/2018,83.40000,87.20000,91.00000
12/16/2018,62.20000,63.40000,64.60000
12/17/2018,93.80000,100.40000,102.80000
12/18/2018,94.20000,102.20000,104.40000
12/19/2018,96.80000,95.80000,103.40000
12/20/2018,98.20000,95.60000,98.80000
12/21/2018,95.00000,92.20000,96.60000
12/22/2018,75.40000,70.00000,68.40000
12/23/2018,59.60000,55.20000,54.20000
12/24/2018,79.40000,79.20000,78.60000
12/25/2018,79.00000,78.00000,77.20000
12/26/2018,75.60000,73.40000,73.00000
12/27/2018,77.60000,80.40000,78.40000
12/28/2018,78.40000,81.40000,79.40000
12/29/2018,70.80000,70.80000,70.40000
12/30/2018,54.00000,59.60000,59.60000
12/31/2018,81.80000,77.40000,77.40000
1/1/2019,84.20000,82.60000,80.20000
1/2/2019,105.40000,106.40000,111.60000
1/3/2019,98.80000,103.00000,113.80000
1/4/2019,102.20000,107.00000,108.60000
1/5/2019,79.80000,81.60000,79.60000
1/6/2019,63.00000,62.20000,62.40000
1/7/2019,96.60000,100.00000,108.80000
1/8/2019,104.20000,106.40000,105.00000
1/9/2019,107.00000,115.00000,118.40000
1/10/2019,109.60000,119.00000,110.20000
1/11/2019,108.40000,112.40000,112.20000
1/12/2019,84.80000,86.40000,87.60000
1/13/2019,64.40000,66.20000,65.80000
1/14/2019,99.00000,108.00000,110.00000
1/15/2019,97.00000,106.00000,105.80000
1/16/2019,97.40000,101.80000,106.00000
1/17/2019,106.60000,114.80000,115.00000
1/18/2019,111.60000,115.80000,116.40000
1/19/2019,88.40000,91.40000,95.80000
1/20/2019,66.40000,72.60000,68.40000
1/21/2019,117.00000,127.60000,139.00000
1/22/2019,128.00000,132.20000,135.80000
1/23/2019,117.80000,124.00000,128.20000
1/24/2019,131.60000,135.20000,136.00000
1/25/2019,113.00000,111.40000,105.00000
1/26/2019,87.00000,91.80000,91.60000
1/27/2019,70.00000,66.20000,67.80000
1/28/2019,118.60000,125.00000,139.20000
1/29/2019,117.40000,126.80000,135.20000
1/30/2019,111.80000,124.20000,125.80000
1/31/2019,120.40000,129.60000,136.00000
2/1/2019,111.60000,116.40000,111.40000
2/2/2019,91.20000,96.00000,87.20000
2/3/2019,73.40000,72.60000,71.60000
2/4/2019,111.80000,124.20000,134.80000
2/5/2019,109.60000,117.80000,125.00000
2/6/2019,104.20000,113.00000,119.80000
2/7/2019,117.00000,114.60000,119.20000
2/8/2019,110.60000,114.60000,120.20000
2/9/2019,88.60000,94.80000,96.80000
2/10/2019,64.60000,62.00000,65.80000
2/11/2019,112.20000,120.20000,119.00000
2/12/2019,115.80000,125.00000,133.00000
2/13/2019,108.00000,112.20000,118.80000
2/14/2019,111.60000,115.00000,117.20000
2/15/2019,105.20000,116.20000,113.80000
2/16/2019,76.60000,81.60000,84.60000
2/17/2019,55.00000,56.40000,55.00000
2/18/2019,89.80000,95.00000,101.40000
2/19/2019,95.20000,102.80000,107.20000
2/20/2019,93.40000,101.40000,101.40000
2/21/2019,96.40000,101.40000,106.80000
2/22/2019,89.80000,98.20000,101.00000
2/23/2019,76.20000,77.80000,78.40000
2/24/2019,54.80000,61.20000,57.00000
2/25/2019,97.80000,99.40000,98.40000
2/26/2019,103.40000,110.00000,102.40000
2/27/2019,100.00000,102.00000,109.00000
2/28/2019,101.80000,104.40000,111.60000
3/1/2019,96.20000,100.00000,104.00000
3/2/2019,76.20000,78.20000,82.20000
3/3/2019,56.00000,59.60000,58.60000
3/4/2019,106.00000,108.40000,116.00000
3/5/2019,110.00000,110.20000,112.60000
3/6/2019,97.20000,100.80000,108.60000
3/7/2019,106.20000,107.00000,107.20000
3/8/2019,101.60000,99.80000,103.00000
3/9/2019,75.60000,78.60000,81.00000
3/10/2019,54.20000,52.00000,53.20000
3/11/2019,99.40000,108.40000,113.60000
3/12/2019,108.00000,107.40000,100.80000
3/13/2019,111.80000,116.00000,124.00000
3/14/2019,116.60000,122.80000,124.80000
3/15/2019,112.00000,113.80000,119.00000
3/16/2019,85.80000,86.60000,89.40000
3/17/2019,53.80000,55.80000,58.20000
3/18/2019,114.60000,123.40000,133.80000
3/19/2019,116.00000,120.20000,124.00000
3/20/2019,111.00000,118.80000,126.20000
3/21/2019,113.20000,119.00000,121.80000
3/22/2019,111.40000,115.80000,123.80000
3/23/2019,89.00000,87.00000,95.60000
3/24/2019,50.60000,49.60000,54.20000
3/25/2019,112.40000,118.20000,125.80000
3/26/2019,115.80000,121.60000,128.20000
3/27/2019,108.60000,111.60000,116.20000
3/28/2019,111.00000,116.00000,123.80000
3/29/2019,103.80000,112.20000,112.80000
3/30/2019,86.00000,106.20000,106.40000
3/31/2019,53.00000,50.00000,51.40000
4/1/2019,112.40000,121.40000,129.40000
4/2/2019,117.00000,122.80000,137.00000
4/3/2019,123.20000,127.80000,132.40000
4/4/2019,109.60000,115.60000,140.80000
4/5/2019,116.00000,119.20000,125.20000
4/6/2019,92.40000,92.40000,94.00000
4/7/2019,54.20000,56.40000,55.40000
4/8/2019,123.60000,127.80000,137.80000
4/9/2019,120.20000,126.20000,127.20000
4/10/2019,122.00000,124.60000,131.00000
4/11/2019,125.00000,129.00000,132.00000
4/12/2019,117.80000,124.80000,127.80000
4/13/2019,99.60000,96.40000,100.20000
4/14/2019,61.80000,57.20000,53.60000
4/15/2019,110.60000,109.60000,108.40000
4/16/2019,106.00000,110.60000,120.00000
4/17/2019,102.60000,104.40000,106.80000
4/18/2019,101.00000,106.80000,103.00000
4/19/2019,87.20000,92.60000,89.60000
4/20/2019,91.80000,89.40000,88.40000
4/21/2019,50.40000,49.20000,48.20000
4/22/2019,100.40000,101.80000,103.40000
4/23/2019,114.60000,120.40000,125.60000
4/24/2019,97.00000,98.60000,100.00000
4/25/2019,91.00000,93.80000,98.20000
4/26/2019,87.80000,90.80000,92.40000
4/27/2019,77.80000,78.20000,80.80000
4/28/2019,52.60000,51.80000,51.80000
4/29/2019,101.00000,109.00000,111.20000
4/30/2019,107.40000,108.00000,108.40000
5/1/2019,102.40000,103.20000,105.80000
5/2/2019,102.20000,101.40000,103.00000
5/3/2019,98.80000,102.20000,106.40000
5/4/2019,78.60000,78.80000,78.80000
5/5/2019,55.00000,56.00000,53.60000
5/6/2019,80.80000,79.60000,78.40000
5/7/2019,101.80000,106.00000,106.40000
5/8/2019,102.20000,106.80000,115.20000
5/9/2019,100.40000,104.40000,108.60000
5/10/2019,89.00000,97.20000,96.20000
5/11/2019,82.60000,81.20000,82.00000
5/12/2019,54.80000,53.00000,52.80000
5/13/2019,96.80000,96.40000,100.80000
5/14/2019,105.40000,105.60000,107.60000
5/15/2019,85.20000,73.00000,76.20000
